Driven Brands - MSO,,,,,,,,,,,,,,
Part Status - Concise,,,,,,,,,,,,,,
As of: Today (4/30/2024),,,,,,,,,,,,,,
Locations: CARSTAR CITY AUTO BODY,,,,,,,,,,,,,,
"Filters: Estimator: All, Insurance Company: All, Vendor: All, Part Type: All, Part Status: All, RO Status: All",,,,,,,,,,,,,,
"Sorted By: Repair Order Information (ASC), Line (ASC)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
      RO Number,      Line,      Part Number,      Part Description,      Part Type,      Vendor Name,      RO Qty,      Ordered Qty,      Ordered Date,      Expected Delivery,      Received Qty,      Invoice Date,      Returned Qty,,
1004,0,74166tg7a00,plate,OEM,GALPIN HONDA - 15678,0,0,,,1,11/13/2023 12:00:00 AM,1,,
1004,0,77930tbab21,sensor return,OEM,GALPIN HONDA - 15678,0,0,,,1,9/14/2023 12:00:00 AM,1,,
1004,0,W712314S300,NUT WING,OEM,GALPIN HONDA - 15678,0,0,,,2,4/11/2024 12:00:00 AM,0,,
1004,0,11200,battery,OEM,GALPIN MOTOR - 15678,0,0,,,2,10/19/2023 12:00:00 AM,0,,
1004,0,71129SXSA01,MOLDING FRONT,OEM,GALPIN MOTOR - 15678,0,0,,,1,4/2/2024 12:00:00 AM,1,,
1004,0,EU2Z1V125A,ROTOR ASSY,OEM,GALPIN MOTOR - 15678,0,0,,,1,11/27/2023 12:00:00 AM,0,,
1004,0,GB5Z2001B,BRAKE LINING KIT,OEM,GALPIN MOTOR - 15678,0,0,,,1,11/27/2023 12:00:00 AM,0,,
1004,0,l3k914420a,valve,OEM,GALPIN MOTOR - 15678,0,0,,,1,9/29/2023 12:00:00 AM,1,,
1004,0,NC1050341D,SHIELD,OEM,GALPIN MOTOR - 15678,0,0,,,1,1/24/2024 12:00:00 AM,0,,
1004,0,NC10515H0A,REFLECTOR,OEM,GALPIN MOTOR - 15678,0,0,,,1,1/17/2024 12:00:00 AM,0,,
1004,0,NC1051711,ORNAMENT,OEM,GALPIN MOTOR - 15678,0,0,,,1,1/24/2024 12:00:00 AM,0,,
