Driven Brands - MSO,,,,,,,,,,,,,,,
Abra - Parts ordered not recieved by vendor,,,,,,,,,,,,,,,
As of: Today (4/3/2024),,,,,,,,,,,,,,,
Locations: CARSTAR CITY AUTO BODY,,,,,,,,,,,,,,,
"Filters: Estimator: All, Insurance Company: All, Vendor: All, Part Type: All, Part Status: All, RO Status: Open",,,,,,,,,,,,,,,
Sorted By: PO Number (ASC),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
      RO Number,      Vehicle,      Vehicle In,      Line,      Part Number,      Part Type,      Part Description,      RO Qty,      Ordered Qty,      Backorder Qty,      Expected Delivery,      PO Number,      Vendor Name,      Required By,,
2866,"2016 FORD F-150 XL Regular Cab 141"" WB",3/25/2024 10:00:00 AM,28,FL3Z8475F,OEM,Shutter,1,1,0,3/25/2024 12:00:00 AM,2866-PO-005,GALPIN MOTOR - 15678,3/25/2024 12:00:00 AM,,
2866,"2016 FORD F-150 XL Regular Cab 141"" WB",3/25/2024 10:00:00 AM,44,FL3Z17N775H,OEM,RT Front bracket (HSS),1,1,0,3/25/2024 12:00:00 AM,2866-PO-005,GALPIN MOTOR - 15678,3/25/2024 12:00:00 AM,,
2866,"2016 FORD F-150 XL Regular Cab 141"" WB",3/25/2024 10:00:00 AM,45,FL3Z17N775C,OEM,LT Front bracket (HSS),1,1,0,3/25/2024 12:00:00 AM,2866-PO-005,GALPIN MOTOR - 15678,3/25/2024 12:00:00 AM,,
2793,"2010 FORD F-150 XLT SuperCrew 145"" WB",3/5/2024 2:00:00 PM,10,9L3Z1130A,OEM,"RT/Rear Wheel cap type 3, painted",1,0,0,,,GALPIN MOTOR - 15678,,,
2793,"2010 FORD F-150 XLT SuperCrew 145"" WB",3/5/2024 2:00:00 PM,11,9L3Z1130A,OEM,"LT/Rear Wheel cap type 3, painted",1,0,0,,,GALPIN MOTOR - 15678,,,
2793,"2010 FORD F-150 XLT SuperCrew 145"" WB",3/5/2024 2:00:00 PM,17,9L3Z84291A41AC,OEM,LT Upper molding carbon black,1,0,0,,,GALPIN MOTOR - 15678,,,
2793,"2010 FORD F-150 XLT SuperCrew 145"" WB",3/5/2024 2:00:00 PM,18,5L3Z99292A23AAA,OEM,LT Lower deflector,1,0,0,,,GALPIN MOTOR - 15678,,,
2793,"2010 FORD F-150 XLT SuperCrew 145"" WB",3/5/2024 2:00:00 PM,23,9L3Z4234C,OEM,"RT Axle shaft w/9.75"" axle w/base payload",1,0,0,,,GALPIN MOTOR - 15678,,,
2742,2023 FORD Bronco Black Diamond 4WD,3/25/2024 4:00:00 PM,3,M2DZ17757CA,OEM,Bumper w/o frt park aid,1,0,0,,,GALPIN MOTOR - 15678,,,
2742,2023 FORD Bronco Black Diamond 4WD,3/25/2024 4:00:00 PM,12,M2DZ16720E,OEM,"RT Nameplate ""BLACK DIAMOND"" w/o sasquatch pkg",1,1,0,2/26/2024 12:00:00 AM,2742-PO-001,GALPIN MOTOR - 15678,2/26/2024 12:00:00 AM,,
2742,2023 FORD Bronco Black Diamond 4WD,3/25/2024 4:00:00 PM,13,M2DZ16038AA,OEM,RT Flare w/o Everglades black-narrow,1,1,0,2/26/2024 12:00:00 AM,2742-PO-001,GALPIN MOTOR - 15678,2/26/2024 12:00:00 AM,,
2742,2023 FORD Bronco Black Diamond 4WD,3/25/2024 4:00:00 PM,0,M2DZ17757AA,OEM,Bumper w/o frt park aid,0,1,0,2/26/2024 12:00:00 AM,2742-PO-001,GALPIN MOTOR - 15678,2/26/2024 12:00:00 AM,,
2742,2023 FORD Bronco Black Diamond 4WD,3/25/2024 4:00:00 PM,4,M2DZ17B984A,OEM,RT Mount plate,1,1,0,3/26/2024 12:00:00 AM,2742-PO-003,GALPIN MOTOR - 15678,3/26/2024 12:00:00 AM,,
